userName,content,score,at,appVersion
makara makara,good morning,4,2023-10-31 02:22:31,2.8.0
Trust Your driem,Not good,1,2023-11-01 11:56:56,2.8.0
Zaw Thet Paing,Good,5,2023-10-31 08:04:18,2.8.0
Bibi Sakina,So good,5,2023-10-31 02:24:40,2.8.0
Jay r Maddarola,Thanks you,4,2023-10-31 02:25:14,2.8.0
Ghulam Subhani,I love this game but few lags in low device I always face,5,2023-10-31 08:03:19,2.8.0
Umar Bhatti,I like this  game,5,2023-11-01 13:38:28,2.8.0
Raja Krishnan,Developers really help in game issues thanks,5,2023-10-31 08:03:13,2.8.0
KillerGaming Yt,This best game forever ,5,2023-10-31 02:26:14,2.8.0
AungThu Ya,i love this game,5,2023-10-31 08:00:12,2.8.0
Michael awaseb Awaseb,One of the game i have played in a while,5,2023-11-01 11:58:17,2.8.0
Soe Thein,good,5,2023-10-31 02:26:39,2.8.0
Tensa Zangetsu,Wow super game but we wnt somthing new like whats in farlights game,5,2023-11-01 13:38:05,2.8.0
Loading please,Problem is a money ,5,2023-10-31 02:26:54,2.8.0
Gulfam Baloch,Mashallah game,5,2023-10-31 02:27:21,2.8.0
Moudy Haddad,Good,5,2023-11-01 13:40:03,2.8.0
Mehakdeep Singh,Pretty good game,5,2023-10-31 02:17:28,2.8.0
סעיד ארמלית,saed,3,2023-11-01 13:41:06,2.8.0
Tyler Brannan,The best,5,2023-11-01 13:40:19,2.8.0
Wesley Dickson,Been playing for almost a year now Enjoy it,5,2023-10-31 08:13:13,2.8.0
Anis Batrisya Hasniey,Nice game i like it,5,2023-10-31 01:50:03,2.8.0
Victor Olvera,I love this game every time i come back from a brake of playing it get better gameplay,5,2023-10-31 01:51:23,2.8.0
Hamza Hanif,This is very beautiful game for ever,5,2023-10-31 01:51:42,2.8.0
Arman Khan,So good game,1,2023-11-01 11:44:56,2.8.0
Faisal Jan,Very good,5,2023-10-31 01:53:10,2.8.0
Tomas Brown,Awesome,5,2023-10-31 02:02:06,2.8.0
valentine kenneth,Reality,5,2023-10-31 08:13:13,2.8.0
Khauhelo Lepheana,This is the most epic TPP AND FPP game all time PUBG IS THE BEST NO COMPLAINS,5,2023-10-31 02:04:31,2.8.0
S.M Sohel,Good Game,5,2023-10-31 02:04:32,2.8.0
James Marabut,Very high level game I love it,5,2023-10-31 08:13:11,2.8.0
Abdul Rahman,Minds yr are wepan and fresh game,5,2023-11-01 11:53:34,2.8.0
Alzen Dionisio,Good game 5,5,2023-10-31 02:06:05,2.8.0
Nway Nway,Good game,5,2023-10-31 02:10:23,2.8.0
George Isaac,Best game ever,5,2023-10-31 02:10:41,2.8.0
Raiden Rayla,Nice game,5,2023-10-31 08:08:41,2.8.0
roy golilao,Good Game,5,2023-10-31 02:13:33,2.8.0
Huzafa Shahid,Im poor i need inferno helmet,5,2023-10-31 02:16:30,2.8.0
Hanif Mollah,Amazing,5,2023-10-31 08:08:09,2.8.0
Babar ali Rind,PUBG MOBlLE,5,2023-10-31 02:17:09,2.8.0
Abdul Suboor Abdul Jalil,Love you,5,2023-10-31 07:32:51,2.8.0
Jeramy Stewart,Been playing for over two years Its had its ups and downs and still there are things to improve upon I understand that this is an older version of the game as well but at the same time its quite expensive to pay for some of the draws which in any case isnt the problem The problem Im seeing is that while the game is alive the metro community seems to be dying and with all the money it pulls in I for one would definitely like to see more maps and content or even merge them all 3 together,5,2023-10-31 07:31:09,2.8.0
Ko Shine,It is so cool,5,2023-10-31 03:55:57,2.8.0
W Galaxy,Incredible,5,2023-10-31 05:31:44,2.8.0
ankhbayar uugnaa,Good game,5,2023-10-31 06:44:30,2.8.0
Baby G,The best really fun,5,2023-10-31 05:33:27,2.8.0
Tavengwa Robert mupazuri,Love it,4,2023-11-01 12:50:47,2.8.0
Lynnette Malesu,Perfect game ever ,5,2023-10-31 05:37:35,2.8.0
Umar Khan,Good game,5,2023-11-01 12:53:02,2.8.0
Mohammad SD,Epic gameD,5,2023-10-31 06:44:00,2.8.0
Kaka Kamla2028,Too good,1,2023-11-01 12:53:11,2.8.0
Darlyn Tisan,I love this game,5,2023-10-31 05:38:15,2.8.0
Xboy,I really Happy To Play Pubg Mobile But I Dont have Any X Suit,5,2023-10-31 05:39:22,2.8.0
amal thomas,Nice,4,2023-10-31 05:41:40,2.8.0
Gum Ja Naw Sum du,So good battle ground game,5,2023-10-31 05:42:06,2.8.0
Waheed malik,What this coming new update,5,2023-10-31 06:43:55,2.8.0
Jehu Richardson,Been playing PUBG with a group of friends scattered all over the world for years now Absolutely awesome gaming experience and culture,5,2023-10-31 06:43:37,2.8.0
Ibrahim ismail,I like the game this is ossam,5,2023-10-31 06:41:52,2.8.0
RAISYA AZALEA BALQIS (rai),im an old player ive enjoy this game for 3 years 11 monththank you for making this game theres has a lot of memories that i will never ever forgot Thank you so much,5,2023-11-01 13:05:44,2.8.0
Rana saleem,New Update,5,2023-11-01 13:04:14,2.8.0
Nip Gurung,Very nice,5,2023-10-31 05:42:29,2.8.0
Sylvain Arnauld Tatsiada Ndongmo,Its an amazing game,5,2023-10-31 06:41:50,2.8.0
Min HeinKhant,so PUBG mobile game is so good,5,2023-10-31 06:41:32,2.8.0
jofrey ngwale,very good i feel better to play this game,4,2023-10-31 06:41:15,2.8.0
Muhammad Ahmed,My mobile is realme 5i 4gb ram  64gb rom I am playing pubg and my mobile is lagging during gameplay please need to play more smooth like my device versions my also favourite game is pubg please solve this low device lagging issue ,4,2023-11-01 12:53:23,2.8.0
Rafik HB,I love it,5,2023-11-01 12:50:47,2.8.0
Malik Rafay,Amazing game,5,2023-10-31 05:29:40,2.8.0
Lewis Chihuri,This game is amazing,5,2023-10-31 06:36:50,2.8.0
Azhar Nadeem,Good luck,4,2023-10-31 05:29:21,2.8.0
Hanif Azmeer,Good,5,2023-10-31 05:19:48,2.8.0
Jessa mae Rubio,this game is not playing to my phone,5,2023-10-31 06:47:08,2.8.0
md Soron,Yes i like pubg mobail But i play 3year no m4 glassier,1,2023-10-31 05:22:36,2.8.0
Jamshed Isra,Awesome ,5,2023-10-31 06:46:48,2.8.0
Janish Munuruth,Good game,5,2023-10-31 05:23:43,2.8.0
Qasim Tadbir,Best action game but the skin and matrials to upgrade the gun is super hard to get but overall its the perfect action game,5,2023-11-01 12:41:36,2.8.0
lynda matt,Best,5,2023-10-31 05:23:49,2.8.0
Tahmoor Ali Channa,Old pubg best update new note like,5,2023-10-31 06:46:22,2.8.0
Gio Gio,God game for mobile phone,5,2023-10-31 05:24:41,2.8.0
RAED Q,  ,5,2023-11-01 13:05:54,2.8.0
DIMITRIS BIRBILIS,Its a great game,5,2023-11-01 12:43:22,2.8.0
Mian Ammar,Is very nice game,5,2023-10-31 05:24:58,2.8.0
Nick van Rensburg,Love the fact that you play against others,4,2023-10-31 05:25:46,2.8.0
Tobias Pokpa,Bro this game so cool I love pubg mobile its the best game ever,5,2023-10-31 06:45:55,2.8.0
Imran Mani,1 of the best mobile game Pubg Mobile but after next update bugs lagging issue,5,2023-11-01 12:46:59,2.8.0
Tumai Lashi,Good,4,2023-10-31 05:26:51,2.8.0
Salman Aslam,I love this game,5,2023-10-31 05:27:48,2.8.0
Fkadu Kaleb,Very very best game,5,2023-11-01 12:48:27,2.8.0
HASAN SANI,I love this game,5,2023-10-31 06:45:41,2.8.0
Shirshak Gurung,mindblowing,5,2023-10-31 05:28:25,2.8.0
Michael Daniel,kila ninapo cheza pubg najiskiiiia furaha kilamuda nalicheza ,5,2023-10-31 05:29:13,2.8.0
ToXic BilLi,Nice,5,2023-10-31 06:39:53,2.8.0
brielle snyder,whats yall highest tier mine is ace dominator,5,2023-10-31 06:34:53,2.8.0
Emil Muhamedagic,Perfect game,5,2023-10-31 07:30:59,2.8.0
Mubasher Hassan Gondal,Such a nice,5,2023-10-31 06:25:07,2.8.0
1 Billion Dreams,Wonderful Game,5,2023-11-01 13:02:35,2.8.0
Usama khan,Nice,5,2023-11-01 13:01:19,2.8.0
MR # SHOAIB Qureshi,Good game,5,2023-10-31 06:02:18,2.8.0
CH. ALI HAMZA,I really love this gamel play this game 5 years,5,2023-10-31 06:05:30,2.8.0
Falcon Palm,But my Motorola G Power doesnt allow high quality frame rate sor some reason,5,2023-10-31 06:09:27,2.8.0
Zarq Khan,Best,5,2023-10-31 06:09:57,2.8.0
رئوف جنادله,Goot,5,2023-11-01 12:56:20,2.8.0
Limar Armecin,Those enemies are so basic,3,2023-11-01 13:01:04,2.8.0
Ahad Ahad,I love this game ,5,2023-10-31 06:10:49,2.8.0
Kamau Muriuki,LEGIT,5,2023-10-31 06:24:14,2.8.0
Umar asim,This is good game,5,2023-11-01 13:00:39,2.8.0
HINATA,So lucki like that,5,2023-11-01 13:00:37,2.8.0
Francesco Menconi,Fun playable as in not super complicated,5,2023-10-31 06:11:28,2.8.0
Chuti Mahaththaya,wow,5,2023-10-31 06:23:43,2.8.0
Real Ratul,even its addicted but i like this game play,5,2023-10-31 06:22:08,2.8.0
Ganzorig Enkhjin,PUBG MOBILE New or Old  NewOld,5,2023-10-31 06:21:41,2.8.0
Christopher Bullard,Excellent game but needs less expensive gear and more ability to earn customized weaponry and outfits through skills,4,2023-10-31 06:13:55,2.8.0
TheeMisterWilliams,ImHim,5,2023-10-31 06:14:41,2.8.0
Haizhar Gaming,good,5,2023-11-01 12:58:15,2.8.0
Marvi Bayag,intense,5,2023-10-31 06:14:53,2.8.0
MOG SOE WIN,Good,5,2023-10-31 06:18:17,2.8.0
leilani moanalelei Karmichael,Better than codm,5,2023-10-31 06:24:28,2.8.0
Muhammad Habib,Fantastic,5,2023-10-31 05:59:55,2.8.0
Ali Jaber,This game very good to play,5,2023-11-01 13:04:05,2.8.0
Adeel Awan,I have no abgradibal gon I need it,5,2023-10-31 06:25:24,2.8.0
Ali Hassan,I like  pub g ,5,2023-10-31 05:44:08,2.8.0
Said Adnan Shah bacha,Amazing my fvt game,5,2023-10-31 06:34:12,2.8.0
Makhdum Hammal,IT gives mental health,5,2023-10-31 06:32:50,2.8.0
Zohaib Hassan,Good luck,5,2023-10-31 05:44:24,2.8.0
Mchwuti Gebremichel,I love PUBG So so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so so much,5,2023-11-01 13:03:55,2.8.0
Dj Reno TCI,My anti stress,5,2023-10-31 05:44:58,2.8.0
Dada Abu,Pubg is best every time,5,2023-11-01 13:02:46,2.8.0
Shahwaiz Ali,Very good game  no day can left without it but UC is very costly,5,2023-10-31 06:32:08,2.8.0
Shah Zaib,Best Game in my life,3,2023-10-31 06:28:28,2.8.0
sumon prodan,Not Bad,4,2023-10-31 06:27:48,2.8.0
Ajaab Anu,Love ,5,2023-10-31 05:46:21,2.8.0
bob com,Amazing game,5,2023-11-01 12:54:06,2.8.0
Ko Ko,good,4,2023-10-31 05:47:01,2.8.0
Kevin Munari,Great experience from this game  I love it,5,2023-10-31 06:27:36,2.8.0
Mohamad Asrul,I love this game,5,2023-10-31 05:51:05,2.8.0
Skun2 Tim,Need more weapon upgrade,5,2023-10-31 06:27:06,2.8.0
paopao channel,Iloveyou pubg,5,2023-10-31 06:26:38,2.8.0
Samkelo Sam,I like this game a lot Im addicted  i spend lots of hours playing this game  sometimes i feel like Im on it ,4,2023-11-01 12:55:02,2.8.0
Suhrab Dawran,I love this game,5,2023-10-31 05:56:08,2.8.0
Zeroo gamer,Just awesome,5,2023-10-31 05:56:08,2.8.0
Razzaq dan,good game ,5,2023-10-31 05:18:26,2.8.0
leonard munzi,The game is advancing its a very lovely game that eases depression Please add war jets for us where we can bombard enemies on grown but with limited time just like the Aircraft that has limited fuel Much love from Nigeria long live PUBG,5,2023-10-31 06:47:42,2.8.0
Maung Maung Ka,yaeh,5,2023-11-01 13:07:16,2.8.0
Mohammad Naeem Haider,I love pubg but I need m4 gleisher please pubg please ,5,2023-10-31 07:20:18,2.8.0
Delbert Estevan,Passes the time Time I enjoy ,5,2023-10-31 07:19:39,2.8.0
Haris Kayani,Not lower end friendly always lag and joystick movement is not accurate,1,2023-11-01 12:35:19,2.8.0
Nobin Ghalley,Awesome,5,2023-10-31 04:21:49,2.8.0
faisal shahbaz official,I just love it ,5,2023-10-31 07:17:22,2.8.0
BuBu K-gaming,Nice game so realistic,5,2023-10-31 04:24:22,2.8.0
deadshot ultimate gaming 1o1,Ive been playing for 3 and a half years now and I have never gotten anything good in a crate the isnt fun anymore because I havent gotten any thing,2,2023-10-31 04:25:35,2.8.0
Mhmd Zain,Love it,5,2023-10-31 04:26:08,2.8.0
Thrizha Martinez,its my fav,5,2023-10-31 04:26:42,2.8.0
Zwe Khant Min (Zwe),Good,5,2023-11-01 13:17:55,2.8.0
Ahmed Ramadan,Very nice game ,5,2023-10-31 04:27:25,2.8.0
Ba Nyarr Khant,Great game,5,2023-10-31 04:28:00,2.8.0
Dave,Love this game,5,2023-10-31 04:29:34,2.8.0
Mukhtiar Chandio,Love this game,5,2023-10-31 04:30:28,2.8.0
Hi H,Sajjadalisoomro ,5,2023-10-31 07:15:47,2.8.0
Nazim Naqvi,PUBG Teem Help me in getting M416 glaysher,5,2023-10-31 07:15:10,2.8.0
Dolat Khan,I love you PUBG game I like it I m so happy for PUBG mobile game thank you,5,2023-10-31 04:30:51,2.8.0
Jimes Espinosa,i like pubg but they dont give XSiut ,1,2023-10-31 07:14:45,2.8.0
Samuel Advent,Best game to play I really love it,5,2023-10-31 07:13:31,2.8.0
Abbas Babur,Old PUBG is better as compared to new one now outfits are very ugly and bad I dont like it PUBG timeout sorry for to say but I dont like it the PUBG Now Im playing genshin impect,5,2023-10-31 07:12:32,2.8.0
Shewan Shewan,This would of the best game,5,2023-10-31 04:32:56,2.8.0
Atif Maqbool,My life ,5,2023-10-31 07:11:51,2.8.0
Hassan Shah,One time best game,5,2023-10-31 04:21:34,2.8.0
Muhammad Ayuba,Please i want m4 glacia,5,2023-10-31 07:21:12,2.8.0
Ahmad ali Khan,I love this ,5,2023-10-31 05:18:18,2.8.0
Htet Aung Phyo,good game,5,2023-11-01 13:19:04,2.8.0
ThantZin Myanmar,So Good ,5,2023-10-31 07:30:21,2.8.0
sulav shakya,Best game ever,5,2023-10-31 04:01:52,2.8.0
BeDo _ Gamer,GOOD,5,2023-10-31 04:03:48,2.8.0
Ram Shrestha,Excellent,5,2023-10-31 04:07:12,2.8.0
Shine Bhone Aung,haso fiwc rvei,5,2023-11-01 12:34:49,2.8.0
Annaliza Acosta,Ireally love it i hope someone give me rp,5,2023-10-31 07:29:28,2.8.0
UMAIR ASLAM,Lovely game,5,2023-10-31 07:27:08,2.8.0
Andrew Seetook,its alright fun once in the zone,4,2023-10-31 07:26:49,2.8.0
Ahmad Jan,Gun new evnts un accepted ,5,2023-11-01 13:27:10,2.8.0
Sajjad Khan,Meri Facebook wali Id open nii ho rii plz Kuch kry Meri itni mahnat ki ha id pr,1,2023-11-01 13:26:33,2.8.0
Jose Santos Jr.,Nice play,5,2023-10-31 07:25:22,2.8.0
Tavish Condeah,Thank you for such a game,5,2023-10-31 04:07:43,2.8.0
Thapelo Motloung,Good game but too many glitches,4,2023-10-31 07:24:56,2.8.0
adee Khokhar,Good for time pass,5,2023-10-31 04:08:48,2.8.0
Herry Helcey,Great game plsss give me UC I want M4 ICE,5,2023-11-01 13:21:47,2.8.0
Officer Jinx,I love it so much Its better than other game,5,2023-10-31 04:11:41,2.8.0
Sewela Julia,This game is the best but can you pls add more legendary skins for the m416 since there is a glacier pls Add a fire legendary skin thanks for the game,5,2023-10-31 04:14:21,2.8.0
Usman Shah,      ,5,2023-10-31 04:17:25,2.8.0
towhid islam,Good game,5,2023-10-31 07:24:43,2.8.0
Nischal Paudel,Best,5,2023-10-31 07:21:58,2.8.0
spaze HALAL,Bery gooddddd,5,2023-10-31 07:21:25,2.8.0
IZUCHUKWU OBIDINMA,The best android game ever Ive played for 4 years now but have not received M416 glacier,3,2023-10-31 04:34:08,2.8.0
Ahmed Era,I love it  when sometimes I feel sad and upset then I play PUBG he give ma allot of Sakooon,5,2023-10-31 07:11:17,2.8.0
10jan 2021,Awesome,5,2023-10-31 04:34:13,2.8.0
javed khan,Nice update the zombies Mode Is epic Pubg Gave us a Nostalgia But that Re2 Update was something else,5,2023-10-31 04:34:32,2.8.0
min myat yazar,good game,2,2023-10-31 04:59:26,2.8.0
Yoseef Ninga,    ,5,2023-11-01 13:11:39,2.8.0
Opu Ahmed,nice,4,2023-10-31 06:53:27,2.8.0
Sherreen Ndlovu,Best game Ive ever played very good game,5,2023-10-31 05:01:26,2.8.0
Meraj Ahmad,Excellent game,5,2023-10-31 06:53:14,2.8.0
subash kafle,Excellent graphics to,5,2023-10-31 05:03:52,2.8.0
Nour Siblini,Best game ever,5,2023-11-01 12:39:27,2.8.0
Naveed Tariq,Great,5,2023-10-31 05:04:07,2.8.0
Azmi Sabah,Just start to play this gameI found my joy,5,2023-10-31 06:51:56,2.8.0
the walard,Playing for 5 years its another love,5,2023-11-01 13:11:22,2.8.0
Mohammad amirull Ibrahim,Nice,5,2023-11-01 12:39:49,2.8.0
Dennis,This game its so cool cause Ive been playing for 9yrs this is my favourite game,5,2023-10-31 05:08:39,2.8.0
Tayyab Mughal,good game,5,2023-10-31 05:11:28,2.8.0
Roderic Tusoy,Nice game,5,2023-10-31 06:50:01,2.8.0
Dont Show,Can you matching lobby same network and ping my ping is 250netw 3g or4g so kindly matching lobby by network speed can you do it,5,2023-10-31 05:12:40,2.8.0
Roiland Catanes,Realistic,5,2023-11-01 12:40:11,2.8.0
Bloy Ten,The Best,5,2023-11-01 12:40:46,2.8.0
Aung Mobile,like,5,2023-11-01 13:09:28,2.8.0
Alejandre Mauricio,Its even better than i expected The details of the gunfire is actually realistic than i thought it would It even gave me a minor PTSD during my first play few years back LOL,5,2023-10-31 06:49:09,2.8.0
Khalid Khan,Nice game,5,2023-10-31 05:14:31,2.8.0
Tusher Ahmed,Not bad,4,2023-10-31 05:17:14,2.8.0
Tonmoy Sheikh,My favorite game ever,5,2023-11-01 13:12:40,2.8.0
Muhammad Umar Azan,Its aight,4,2023-10-31 06:53:36,2.8.0
Junaid Khalid,Please unban my account,2,2023-10-31 04:58:24,2.8.0
Mystic Breeze,so much content such a fun game the only problem is they dont have servers for Australia and Africa other than that I can confidently say its the best competitive mobile shooting game on the market,4,2023-10-31 07:08:25,2.8.0
Frances Ada,magandang,5,2023-10-31 04:35:28,2.8.0
Zarq Waheed,V good,4,2023-11-01 12:37:07,2.8.0
Rizwan Hameed,Good,5,2023-10-31 04:35:47,2.8.0
Sewak Dmaan,Amazing Game,5,2023-10-31 07:09:27,2.8.0
Hillarry Masambaka Malova,Ive always enjoyed this game but After the last update app keeps closing a minute after launching it It happens every time Cant play in peace,3,2023-11-01 13:13:12,2.8.0
UsamaYTC,Great graphics and missing old pubg old friends,5,2023-10-31 04:36:18,2.8.0
Ibrahim n,This is very helpful game,5,2023-10-31 04:36:31,2.8.0
AB Tabs Radj (TABBY),Warheads,5,2023-10-31 04:41:01,2.8.0
KHAN GAMING,Pubg is nice game but many player doing camping when they play,4,2023-10-31 04:42:17,2.8.0
Kehinde Cade,Some stutters but still fun,4,2023-10-31 04:51:14,2.8.0
Abdulrehman Khan,Nice game,4,2023-10-31 04:55:03,2.8.0
Ace Cea,The best game,5,2023-10-31 07:04:35,2.8.0
Esmael Arega,Lovely,4,2023-10-31 04:52:11,2.8.0
Sotia Telefoni,Pubg is amazing,5,2023-10-31 04:52:29,2.8.0
Nhlanhla Zulu,Pubg is a good game i mean i gave you 5 stars but i dont like this graphics that says coming soon all graphics must be open please,5,2023-10-31 07:01:59,2.8.0
Min Paing,Pubg I like it very much and its very good to play it ,4,2023-10-31 04:53:22,2.8.0
Alpha One,Game is good but in this season many many heaker is playing and pubg are not interested in ban id of hackers  And game is hanging suddenly,2,2023-10-31 07:01:32,2.8.0
Rocky Boy,Good game,5,2023-10-31 06:55:51,2.8.0
Sufyan Maheen,The best game ever made,5,2023-10-31 06:55:20,2.8.0
Azadar05 Khuhawar,Pubg mobile is awesome,5,2023-10-31 06:54:32,2.8.0
Yaseen Riaz,Exceptional game,5,2023-11-01 13:59:22,2.8.0
FAIZAN MUHAMMAD,This Game is very good and fantastic,3,2023-11-01 13:59:42,2.8.0
davin cleary,I have spent hours days weeks and years playing this game since 2019 My family has begged me to uninstall the game but i cant stop and i never will 5 stars,5,2023-10-31 01:07:56,2.8.0
Viral Top Popular,My most favourite game ever,5,2023-10-30 21:09:48,2.8.0
Marcelle Rawass,Wanderful game,5,2023-10-30 21:11:28,2.8.0
Jonathan Forkey,still a better game play experience than Fortnite its well balanced and fun to play Edit Four years later and the game has improved and added a lot of fun features Chat is a bottomless pit of spam and despair but thats true about all gaming,5,2023-10-30 21:14:35,2.8.0
Imane El Mejdoubi,Bunch of scammer and thieves,1,2023-10-30 21:14:54,2.8.0
usa gyi,good,5,2023-10-31 10:14:32,2.8.0
mark ymata250,good,5,2023-10-31 10:13:38,2.8.0
Jamol Arap,First tym playing PUBG was quite challenging from other similar game apps and since I was looking for something challenging yall gave me one from the xcter build up to recoil it just looks so real and fun and so perfect in ma opinion only problem come with network lagging esp wix wifi its just so painful losing a match cox a lagging network,4,2023-10-30 21:15:20,2.8.0
Uttam Lama,My life line,5,2023-10-30 21:16:11,2.8.0
Ashish Siwakoti,Game is good,3,2023-10-30 21:20:35,2.8.0
Irfan Ali,Nice game,5,2023-10-31 10:11:47,2.8.0
adong galapia,the best game,5,2023-10-31 10:11:32,2.8.0
Annisa Bila,Setiap klik request time out,1,2023-11-01 10:35:44,2.8.0
M Kashif,Game bar bar downloading mangti hai iski kya vajah hai,5,2023-10-30 21:24:32,2.8.0
Ye Thway,Good experience give this game,5,2023-10-31 10:08:13,2.8.0
Venjun ray Ramos,Ur match making is ugly but nice game,4,2023-10-31 10:05:37,2.8.0
Shumaila Ahmed,Good,5,2023-11-01 10:37:12,2.8.0
Tougeedah Marston,I love this game so much and the constant new updates and events makes it even more fun and addictive,5,2023-10-30 21:24:45,2.8.0
Moazzam Ali,Good Memories Forever ,5,2023-10-31 10:03:25,2.8.0
Nicholas,Tq for the best game ever,5,2023-10-31 10:03:22,2.8.0
Black Lover,L like this game,5,2023-11-01 15:12:19,2.8.0
Adam Saleh,Very bad to register its make ur blood high,1,2023-10-30 21:25:45,2.8.0
Cabdulahi Muse,Its fun,5,2023-10-30 21:26:21,2.8.0
Yasser Mohamed,    ,5,2023-10-30 21:10:26,2.8.0
Greivis Andres Alcala,I am playing since from season 1 and im from guyana  and why pubg not putting a flag all the caribbian have their flag so pubg can you please put a guyana flag because it have flag on other game like free fire farlight 84 etc But this is the only game I love but it dont have my country flag  so pubg can you please add guyanan flag,3,2023-10-30 21:08:54,2.8.0
Myo Zaw Win,u,1,2023-10-30 21:29:26,2.8.0
Awais Habib,In seson 12 and 13 pubg is much better than today When player go lay down we like this glitch Royal pass season 11 outfit 100 rp We want pubg come back,3,2023-10-31 10:15:10,2.8.0
Rajpoot,I really like this game,5,2023-10-31 10:22:36,2.8.0
asim Ahmad,One an only PUBGin the world ,5,2023-10-30 20:57:48,2.8.0
MUSICAL ARJUN,i love this game,5,2023-10-31 10:22:26,2.8.0
jaco swanepoel,Lovely game,4,2023-10-30 20:59:05,2.8.0
Papu Sah,Interesting game,5,2023-10-31 10:20:29,2.8.0
Ya'llFink 2DamnMuch,Harrowing lol,4,2023-10-30 21:00:25,2.8.0
A.A.A. Vines,Very nice game but,5,2023-11-01 15:13:53,2.8.0
Isaac Zulu,Awesome,4,2023-10-31 10:20:08,2.8.0
Sherab Gyeltshen,This is the best game ever,5,2023-11-01 15:13:15,2.8.0
Eteri Sarajishvili,magaria,5,2023-10-30 21:01:50,2.8.0
ali ahmad,Nice game,5,2023-10-30 21:03:04,2.8.0
Sesath Wipulasena,play this game,5,2023-10-30 21:03:07,2.8.0
Genesis Onoja,I enjoy this game alot i think am addicted,4,2023-10-30 21:04:23,2.8.0
Chhiring Tamang,its a part if my life,5,2023-10-30 21:05:04,2.8.0
Kim christian Dublin,I love the game,5,2023-10-31 10:19:18,2.8.0
Masumbuko Misamu,vavorite game I been playing it for so long that I will never quite,5,2023-10-30 21:05:09,2.8.0
Farhan Khan,Plzzz remove ultimate set,5,2023-10-31 10:16:33,2.8.0
"Enrique, Colin",The game is lag even though i have strong connection I am in asia server cause im in the Philippines Update the lag has been fix thank you pubgm,5,2023-10-31 10:16:19,2.8.0
Jan Alam hunzai,Game on Heros,5,2023-10-30 21:05:32,2.8.0
Eric Mukosi,Now am enjoying the smooth gameplay,5,2023-11-01 15:12:55,2.8.0
Saber Bouzned,The best game,5,2023-10-30 21:06:29,2.8.0
Guider man,Love pubg Its fantastic game,5,2023-10-30 21:26:30,2.8.0
Ahsan Habib,My Favourite Game,5,2023-10-30 21:31:32,2.8.0
L2HM,Love you,5,2023-10-30 22:05:16,2.8.0
EZARK LIGHT,Best battle royal game,5,2023-11-01 15:07:14,2.8.0
Tshering Tashi,This is my favourite game,5,2023-10-31 09:59:50,2.8.0
ProSteve Bedrock,This game is addictive I can surely suggest it to play Really good graphicsHD realistic physics good recoil system and Friendly Players I play it almost 1 year and half in a lowend 30FPS phone until i got flagship phone The only issue though is the buggy of it in vehiclescan clip through wall when laggy and a lot of Cheatersmagic bullet and aimbot So far its really good  keep up new updates,5,2023-10-31 09:49:35,2.8.0
Trevor Koketso,I would write something that can help this app run better and get the acknowledgment its lacking aswell as its efficiency but I know i wont be noticed hence Ill just leave it with a 3 star rating which is pretty decent,3,2023-11-01 10:44:53,2.8.0
Saba Arbab,pubg love h yr,5,2023-10-30 21:54:29,2.8.0
Ice Ice,line led,5,2023-10-31 09:49:25,2.8.0
Victor Nyongesa,good game but lots of hackers,4,2023-11-01 15:06:38,2.8.0
Murtaza Ghulami,I enjoy it,1,2023-11-01 15:04:50,2.8.0
Adil Adil,This game is very good,5,2023-10-31 09:48:14,2.8.0
Gideon Sumbad,Its more realistic than other mobile games,5,2023-11-01 15:03:16,2.8.0
Faisal Taj,Awesome game,5,2023-10-30 21:54:59,2.8.0
hassan rauf,I think one of best game i played but if u have high device then this game is perfect ,5,2023-10-31 09:47:48,2.8.0
Pratika Bantawa,I work in health clinic and I have much free times in my job so i play this game for time pass,5,2023-11-01 14:59:19,2.8.0
Mustafa Elsawahly,Nice,5,2023-10-30 21:55:55,2.8.0
nouman H,amazing,5,2023-10-31 09:46:40,2.8.0
Sami Gull,I love pubg,5,2023-10-30 21:57:28,2.8.0
Furqan Raza,Awesome,5,2023-10-31 09:42:29,2.8.0
Sabit Kelmendi,Good,5,2023-10-30 22:01:18,2.8.0
Sameer Adnan,its really amazing game i had never seen before in my life ,5,2023-10-30 22:01:39,2.8.0
Salma Samer, nice,5,2023-11-01 14:53:15,2.8.0
Md Tanweer,I love to play this game but some time its getting problem because of lag some time bullet damage is low hope the can fix,5,2023-10-30 22:03:50,2.8.0
Sham Stha,Best game ever,5,2023-10-30 21:51:47,2.8.0
Uzma Saeed,This game is a happiness,5,2023-11-01 10:39:39,2.8.0
Mr Firoj,Good game,1,2023-10-31 10:00:26,2.8.0
qamar sultan,I realy like it,5,2023-10-30 21:33:22,2.8.0
Zulkanain Ab Rahim,padu,5,2023-11-01 10:41:19,2.8.0
Tahir GG,Delet newsuit and amr skin,5,2023-10-30 21:37:48,2.8.0
Fahad Ayub,Love you pubg,5,2023-10-31 10:02:40,2.8.0
Anas Ihsan,Amazing and be attractive enemy in this game,5,2023-11-01 10:42:15,2.8.0
